date,flow_v
2021-09-14 12:48:46,14
2021-09-14 12:48:46,14
2021-09-14 12:48:46,14
2021-09-14 12:48:46,18
2021-09-14 12:48:46,17
2021-09-14 12:48:46,17
2021-09-14 12:48:46,17
2021-09-14 12:48:47,17
2021-09-14 12:48:47,17
2021-09-14 12:48:47,17
2021-09-14 12:48:47,17
2021-09-14 12:48:47,18
2021-09-14 12:48:47,18
2021-09-14 12:48:47,18
2021-09-14 12:48:47,18
2021-09-14 12:48:48,18
2021-09-14 12:48:48,18
2021-09-14 12:48:48,18
2021-09-14 12:48:48,17
2021-09-14 12:48:48,17
2021-09-14 12:48:48,17
2021-09-14 12:48:48,17
2021-09-14 12:48:49,17
2021-09-14 12:48:49,17
2021-09-14 12:48:49,17
2021-09-14 12:48:49,16
2021-09-14 12:48:49,16
2021-09-14 12:48:49,15
2021-09-14 12:48:49,16
2021-09-14 12:48:50,15
2021-09-14 12:48:50,15
2021-09-14 12:48:50,15
2021-09-14 12:48:50,16
2021-09-14 12:48:50,18
2021-09-14 12:48:50,18
2021-09-14 12:48:50,18
2021-09-14 12:48:50,18
2021-09-14 12:48:51,18
2021-09-14 12:48:51,18
2021-09-14 12:48:51,18
2021-09-14 12:48:51,18
2021-09-14 12:48:51,18
2021-09-14 12:48:51,18
2021-09-14 12:48:51,18
2021-09-14 12:48:52,18
2021-09-14 12:48:52,18
2021-09-14 12:48:52,18
2021-09-14 12:48:52,16
2021-09-14 12:48:52,15
2021-09-14 12:48:52,15
2021-09-14 12:48:52,15
2021-09-14 12:48:53,16
2021-09-14 12:48:53,15
2021-09-14 12:48:53,15
2021-09-14 12:48:53,15
2021-09-14 12:48:53,15
2021-09-14 12:48:53,15
2021-09-14 12:48:53,15
2021-09-14 12:48:53,15
2021-09-14 12:48:54,15
2021-09-14 12:48:54,16
2021-09-14 12:48:54,16
2021-09-14 12:48:54,13
2021-09-14 12:48:54,13
2021-09-14 12:48:54,13
2021-09-14 12:48:54,13
2021-09-14 12:48:55,13
2021-09-14 12:48:55,13
2021-09-14 12:48:55,13
2021-09-14 12:48:55,13
2021-09-14 12:48:55,13
2021-09-14 12:48:55,13
2021-09-14 12:48:55,13
2021-09-14 12:48:56,13
2021-09-14 12:48:56,13
2021-09-14 12:48:56,13
2021-09-14 12:48:56,13
2021-09-14 12:48:56,13
2021-09-14 12:48:56,13
2021-09-14 12:48:56,13
2021-09-14 12:48:56,13
2021-09-14 12:48:57,13
2021-09-14 12:48:57,13
2021-09-14 12:48:57,13
2021-09-14 12:48:57,15
2021-09-14 12:48:57,15
2021-09-14 12:48:57,15
2021-09-14 12:48:57,15
2021-09-14 12:48:58,15
2021-09-14 12:48:58,15
2021-09-14 12:48:58,16
2021-09-14 12:48:58,16
2021-09-14 12:48:58,16
2021-09-14 12:48:58,15
2021-09-14 12:48:58,16
2021-09-14 12:48:59,15
2021-09-14 12:48:59,16
2021-09-14 12:48:59,15
2021-09-14 12:48:59,16
2021-09-14 12:48:59,20
2021-09-14 12:48:59,20
2021-09-14 12:48:59,20
2021-09-14 12:48:59,20
2021-09-14 12:49:00,20
2021-09-14 12:49:00,20
2021-09-14 12:49:00,20
2021-09-14 12:49:00,17
2021-09-14 12:49:00,17
2021-09-14 12:49:00,17
2021-09-14 12:49:00,17
2021-09-14 12:49:01,17
2021-09-14 12:49:01,17
2021-09-14 12:49:01,17
2021-09-14 12:49:01,21
2021-09-14 12:49:01,21
2021-09-14 12:49:01,21
2021-09-14 12:49:01,21
2021-09-14 12:49:02,21
2021-09-14 12:49:02,21
2021-09-14 12:49:02,21
2021-09-14 12:49:02,21
2021-09-14 12:49:02,20
2021-09-14 12:49:02,20
2021-09-14 12:49:02,20
2021-09-14 12:49:03,20
2021-09-14 12:49:03,20
2021-09-14 12:49:03,20
2021-09-14 12:49:03,20
2021-09-14 12:49:03,16
2021-09-14 12:49:03,15
2021-09-14 12:49:03,15
2021-09-14 12:49:03,16
2021-09-14 12:49:04,16
2021-09-14 12:49:04,15
2021-09-14 12:49:04,15
2021-09-14 12:49:04,15
2021-09-14 12:49:04,16
2021-09-14 12:49:04,15
2021-09-14 12:49:04,16
2021-09-14 12:49:05,15
2021-09-14 12:49:05,16
2021-09-14 12:49:05,15
2021-09-14 12:49:05,16
2021-09-14 12:49:05,17
2021-09-14 12:49:05,17
2021-09-14 12:49:05,17
2021-09-14 12:49:06,17
2021-09-14 12:49:06,17
2021-09-14 12:49:06,17
2021-09-14 12:49:06,17
2021-09-14 12:49:06,17
2021-09-14 12:49:06,17
2021-09-14 12:49:06,17
2021-09-14 12:49:06,17
2021-09-14 12:49:07,17
2021-09-14 12:49:07,17
2021-09-14 12:49:07,17
2021-09-14 12:49:07,16
2021-09-14 12:49:07,16
2021-09-14 12:49:07,15
2021-09-14 12:49:07,15
2021-09-14 12:49:08,15
2021-09-14 12:49:08,16
2021-09-14 12:49:08,16
2021-09-14 12:49:08,16
2021-09-14 12:49:08,18
2021-09-14 12:49:08,18
2021-09-14 12:49:08,18
2021-09-14 12:49:09,18
2021-09-14 12:49:09,18
2021-09-14 12:49:09,18
2021-09-14 12:49:09,18
2021-09-14 12:49:09,20
2021-09-14 12:49:09,20
2021-09-14 12:49:09,20
2021-09-14 12:49:09,20
2021-09-14 12:49:10,20
2021-09-14 12:49:10,20
2021-09-14 12:49:10,20
2021-09-14 12:49:10,16
2021-09-14 12:49:10,15
2021-09-14 12:49:10,15
2021-09-14 12:49:10,15
2021-09-14 12:49:11,15
2021-09-14 12:49:11,15
2021-09-14 12:49:11,15
2021-09-14 12:49:11,16
2021-09-14 12:49:11,17
2021-09-14 12:49:11,17
2021-09-14 12:49:11,17
2021-09-14 12:49:12,17
2021-09-14 12:49:12,17
2021-09-14 12:49:12,17
2021-09-14 12:49:12,17
2021-09-14 12:49:12,16
2021-09-14 12:49:12,15
2021-09-14 12:49:12,16
2021-09-14 12:49:12,16
2021-09-14 12:49:13,15
2021-09-14 12:49:13,16
2021-09-14 12:49:13,16
2021-09-14 12:49:13,17
2021-09-14 12:49:13,17
2021-09-14 12:49:13,17
2021-09-14 12:49:13,17
2021-09-14 12:49:14,17
2021-09-14 12:49:14,17
2021-09-14 12:49:14,17
2021-09-14 12:49:14,17
2021-09-14 12:49:14,17
2021-09-14 12:49:14,17
2021-09-14 12:49:14,17
2021-09-14 12:49:15,17
2021-09-14 12:49:15,17
2021-09-14 12:49:15,17
2021-09-14 12:49:15,17
2021-09-14 12:49:15,18
2021-09-14 12:49:15,18
2021-09-14 12:49:15,18
2021-09-14 12:49:15,18
2021-09-14 12:49:16,18
2021-09-14 12:49:16,18
2021-09-14 12:49:16,18
2021-09-14 12:49:16,14
2021-09-14 12:49:16,14
2021-09-14 12:49:16,14
2021-09-14 12:49:16,14
2021-09-14 12:49:17,14
2021-09-14 12:49:17,14
2021-09-14 12:49:17,14
2021-09-14 12:49:17,18
2021-09-14 12:49:17,17
2021-09-14 12:49:17,17
2021-09-14 12:49:17,17
2021-09-14 12:49:18,17
2021-09-14 12:49:18,17
2021-09-14 12:49:18,17
2021-09-14 12:49:18,17
2021-09-14 12:49:18,18
2021-09-14 12:49:18,18
2021-09-14 12:49:18,18
2021-09-14 12:49:18,18
2021-09-14 12:49:19,18
2021-09-14 12:49:19,18
2021-09-14 12:49:19,18
2021-09-14 12:49:19,16
2021-09-14 12:49:19,16
2021-09-14 12:49:19,16
2021-09-14 12:49:19,16
2021-09-14 12:49:20,16
2021-09-14 12:49:20,16
2021-09-14 12:49:20,15
2021-09-14 12:49:20,16
2021-09-14 12:49:20,17
2021-09-14 12:49:20,17
2021-09-14 12:49:20,17
2021-09-14 12:49:21,17
2021-09-14 12:49:21,17
2021-09-14 12:49:21,17
2021-09-14 12:49:21,17
2021-09-14 12:49:21,14
2021-09-14 12:49:21,14
2021-09-14 12:49:21,14
2021-09-14 12:49:21,14
2021-09-14 12:49:22,14
2021-09-14 12:49:22,14
2021-09-14 12:49:22,14
2021-09-14 12:49:22,15
2021-09-14 12:49:22,15
2021-09-14 12:49:22,15
2021-09-14 12:49:22,15
2021-09-14 12:49:23,15
2021-09-14 12:49:23,15
2021-09-14 12:49:23,15
2021-09-14 12:49:23,16
2021-09-14 12:49:23,17
2021-09-14 12:49:23,17
2021-09-14 12:49:23,17
2021-09-14 12:49:24,17
